DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Feb-2026,EQ,"1,328.50","1,343.00","1,308.70","1,324.00","1,343.00","1,328.90","1,322.46","1,673.00","1,281.70",1117982,"1,47,84,81,173.20",25740
30-Jan-2026,EQ,"1,319.00","1,329.90","1,314.40","1,320.90","1,325.00","1,324.00","1,322.60","1,673.00","1,281.70",2157826,"2,85,39,42,958.60",45403
29-Jan-2026,EQ,"1,325.00","1,327.60","1,307.00","1,328.40","1,319.00","1,320.90","1,317.19","1,673.00","1,281.70",2099306,"2,76,51,95,036.50",69555
28-Jan-2026,EQ,"1,313.00","1,334.70","1,310.10","1,313.00","1,334.70","1,328.40","1,320.88","1,673.00","1,281.70",1535898,"2,02,87,38,828.00",63047
27-Jan-2026,EQ,"1,300.00","1,323.50","1,281.70","1,315.00","1,314.00","1,313.00","1,307.55","1,673.00","1,281.70",4109525,"5,37,34,10,448.00",154946
23-Jan-2026,EQ,"1,372.20","1,385.90","1,303.00","1,370.40","1,322.30","1,315.00","1,336.24","1,673.00","1,303.00",6590032,"8,80,58,80,479.80",174755
22-Jan-2026,EQ,"1,381.20","1,384.50","1,366.70","1,369.60","1,374.00","1,370.40","1,373.92","1,673.00","1,335.00",1536604,"2,11,11,63,716.40",40647
21-Jan-2026,EQ,"1,378.40","1,398.40","1,363.80","1,378.40","1,370.00","1,369.60","1,374.00","1,673.00","1,335.00",2306655,"3,16,93,54,486.40",96467
20-Jan-2026,EQ,"1,392.30","1,395.90","1,375.40","1,392.30","1,381.00","1,378.40","1,383.20","1,673.00","1,335.00",2040403,"2,82,22,89,276.20",69031
19-Jan-2026,EQ,"1,396.50","1,398.10","1,371.90","1,397.50","1,387.80","1,392.30","1,386.04","1,673.00","1,335.00",1653550,"2,29,18,81,551.10",62170
16-Jan-2026,EQ,"1,379.00","1,409.50","1,367.20","1,434.50","1,398.00","1,397.50","1,393.04","1,673.00","1,335.00",4333315,"6,03,64,86,145.60",135796
14-Jan-2026,EQ,"1,443.80","1,449.80","1,425.70","1,448.30","1,433.50","1,434.50","1,433.68","1,673.00","1,335.00",1775529,"2,54,55,32,622.70",65863
13-Jan-2026,EQ,"1,460.00","1,469.40","1,436.60","1,465.20","1,448.00","1,448.30","1,445.63","1,673.00","1,335.00",1909873,"2,76,09,61,730.90",52859
12-Jan-2026,EQ,"1,464.00","1,467.50","1,444.20","1,465.70","1,464.00","1,465.20","1,457.01","1,673.00","1,335.00",2380033,"3,46,77,40,374.10",57804
09-Jan-2026,EQ,"1,464.70","1,468.30","1,456.10","1,460.60","1,466.00","1,465.70","1,463.20","1,673.00","1,335.00",1804271,"2,64,00,01,017.70",55520
08-Jan-2026,EQ,"1,467.90","1,469.30","1,458.00","1,467.90","1,461.00","1,460.60","1,462.75","1,673.00","1,335.00",2651011,"3,87,77,74,466.20",101198
07-Jan-2026,EQ,"1,516.00","1,516.00","1,455.00","1,530.80","1,465.30","1,467.90","1,474.66","1,673.00","1,335.00",5076416,"7,48,60,00,314.20",163268
